Day,Date,Time(ET),Location,Favorite,Score,Spread,Opponent,Underdog,Over/Under,Additional Notes
Sat,"Dec 3, 1966",,@,Oakland Raiders,T 28-28,L -4,,New York Jets,,
Sun,"Dec 4, 1966",,,Buffalo Bills,L 3-14,L -6,@,Boston Patriots,,
Sun,"Dec 4, 1966",,@,Denver Broncos,W 17-7,W -6,,Miami Dolphins,,
Sun,"Dec 4, 1966",,,San Diego Chargers,W 28-22,P -6,@,Houston Oilers,,
