Day,Date,Time(ET),Location,Favorite,Score,Spread,Opponent,Underdog,Over/Under,Additional Notes
Sat,"Sep 10, 1966",,@,Green Bay Packers,W 24-3,W -1,,Baltimore Colts,,at Milwaukee
Sun,"Sep 11, 1966",,,Los Angeles Rams,W 19-14,L -10,@,Atlanta Falcons,,
Sun,"Sep 11, 1966",,,Chicago Bears,L 3-14,L -7,@,Detroit Lions,,
Sun,"Sep 11, 1966",,@,Pittsburgh Steelers,T 34-34,L -1.5,,New York Giants,,
Sun,"Sep 11, 1966",,,Minnesota Vikings,T 20-20,L -6.5,@,San Francisco 49ers,,
Sun,"Sep 11, 1966",,@,St Louis Cardinals,W 16-13,L -6,,Philadelphia Eagles,,
Sun,"Sep 11, 1966",,,Cleveland Browns,W 38-14,W -4,@,Washington Commanders,,
