Day,Date,Time(ET),At,Favorite,Score,Spread,At,Underdog,Over/Under
Fri,"Sep 2, 1966",,,Oakland Raiders,W 23-14,L -14,@,Miami Dolphins,,
Sat,"Sep 3, 1966",,@,Houston Oilers,W 45-7,W -7,,Denver Broncos,,
Sun,"Sep 4, 1966",,@,San Diego Chargers,W 27-7,W -4,,Buffalo Bills,,
