Day,Date,Time(ET),Location,Favorite,Score,Spread,Opponent,Underdog,Over/Under,Additional Notes
Sat,"Dec 17, 1966",,,Cleveland Browns,W 38-10,W -6.5,@,St Louis Cardinals,,
Sun,"Dec 18, 1966",,,Pittsburgh Steelers,W 57-33,W -6.5,@,Atlanta Falcons,,
Sun,"Dec 18, 1966",,,Minnesota Vikings,L 28-41,L -3,@,Chicago Bears,,
Sun,"Dec 18, 1966",,@,Los Angeles Rams,L 23-27,L -4,,Green Bay Packers,,
Sun,"Dec 18, 1966",,,Dallas Cowboys,W 17-7,L -23,@,New York Giants,,
Sun,"Dec 18, 1966",,@,San Francisco 49ers,L 14-30,L -3,,Baltimore Colts,,
Sun,"Dec 18, 1966",,@,Washington Commanders,L 28-37,L -6.5,,Philadelphia Eagles,,
