Day,Date,Time(ET),Location,Favorite,Score,Spread,Opponent,Underdog,Over/Under,Additional Notes
Sat,"Dec 10, 1966",,,Green Bay Packers,W 14-10,W -3.5,@,Baltimore Colts,,
Sun,"Dec 11, 1966",,,St Louis Cardinals,L 10-16,L -8,@,Atlanta Falcons,,
Sun,"Dec 11, 1966",,@,Dallas Cowboys,L 31-34,L -13.5,,Washington Commanders,,
Sun,"Dec 11, 1966",,@,Detroit Lions,L 16-28,L PK,,Minnesota Vikings,,
Sun,"Dec 11, 1966",,,Pittsburgh Steelers,W 47-28,W -7,@,New York Giants,,
Sun,"Dec 11, 1966",,,Cleveland Browns,L 21-33,L -6.5,@,Philadelphia Eagles,,
Sun,"Dec 11, 1966",,@,San Francisco 49ers,W 41-14,W -1,,Chicago Bears,,
